Unnamed: 0,gender,text,user_id,trivial_gender_mark
33749,female,I am in the second day of my period and it's just not real cool to do heavy activity. I'll be in the gym tomorrow.,3785395,1
33758,male,"July 1, 2004: 3:43 PM Wow. Summer vacation is nearly over, for those still in school that is. What with me being a high school graduate and whatnot, I don't really have to worry about school this upcoming year. Hahaha! Gonna be a college dropout, yeah yeah yeah! Well, maybe not. But probably. All the years that I was in school, graduation and its aftermath were supposed to have been life altering occurrences. I halfway expected to be able to fly. Alas, that did not occur, so I learned about three days after graduation. Limped away with only a skinned knee luckily. Don't really have any more to say right now. Well, I could write about why my sister shoved a tampon up my nose the other night, but I shall leave that for another time.",3816472,0
33809,female,"Another Thursday, another cancelled quarters. Have I mentioned how bad I hate it when this happens. I've only got one hour of class this morning, then I have a dentist appointment. Fun eh? After that, I'm sure I'll be fun in class. Arabic is difficult to speak when you have full functioning ability of your mouth muscles. I don't know how well I'm going to be able to deal. The amusing thing is, they tried to schedule my dentist appointment for 2 hours before my speaking test. They were certain I'd be done in plenty of time. I guess they didn't think I'd need to use my mouth.",3964670,0
33944,female,"Ugh...so *very* sleepy. I met Lauren at the Beachland Ballroom last night for a Ferrick concert. While I had tons of fun, the show wasn't over til just before midnight. Didn't hang around all that long, but by the time I got home and settled down enough to actually fall asleep, it was way past 1am. Problem with that being I had to be at work this morning by 7. Why that early you ask? Well, the plan is to work my 40 hours in 4 days, rather than five and seeing as though I slept through my alarm yesterday, I have plenty of time to make up between now and Thursday. I spose it doesn't matter all *that* much. Just money I don't get. Whatever. I'm looking forward to seeing my Abby and well, another 2 Ferrick shows. Speaking of which, my MD was acting out again last night, as well as this morning when I was trying to play back what I recorded. I missed at least 3 songs, including Mercy, Hello Dad and most of Then So It Is and on the songs you do hear, bass drum drowns out most of whatever you're supposed to be hearing. I think I need to figure out how to either a: turn the bass down or b: simply turn the recording volume down. Either way, I'm not sure how to do that. I'll get the book out tonight and play with it. Hopefully I can work some magic on my PC and the boot while incomplete, will sound half-way decent. I also need to upload photos and work on my newly updated w/o much content web page. I'm really rather excited about this batch of photos. I think I got a few more 'keepers' than usual. So yeah, I should probably get back to that whole work thing. Even though I really don't have all that much to do. Later gators. :-)",299143,0
34052,female,"This morning my professor informed us that there would be problems on our final exam. Yeah, that was helpful.",299143,0
34064,female,Dave has a postcard of an angry old man holding a can of SPAM. : ),299143,0
34093,female,"A Lesson in Communication Systems *Dr. Kim draws an uneven oval on the board and labels it 'potato'* ""You see, like famous chinese chef, you have potato and then you cut it in even slices"" *draws evenly spaced lines through the 'potato' and then adds an axis simply labled 'f'* ""So, natural sampling is basically like chopping a potato, ok?""",299143,0
34157,female,"oh, here I am again. Surprised aren't you? Ha...whatever dude. Abby and I went to see Craig and his gf play at a random cafe in Maumee this evening. The cafe was good (if not exactly live performance condusive), Craig and Phil were good and Sara was good too. All and all, a good evening. Why the lack of expressive adjectives? Cause I have a networks final tomorrow and that just covers everything with a big black cloud. *sigh* I was talking to Craig this evening (please explain to me our complete lack of ability to carry on a face-to-face conversation, however we *rock* at the whole instant message thing) and he mentioned Abby playing violin for some of his songs again. I mentioned it to Abs and she decided that she must get out her violin. So here it is, 11:45 on a Thursday night, we both have finals tomorrow and I'm typing here, while Abby is playing concerto's she hasn't looked at in years. Yeah...how's that for odd? (The her playing the violin when normally she's been asleep for at least an hour, not the me procrasting on the computer part...cause...yeah) Hmm...I spose I should 'hit the books'. I'll try not to break my hand this time. ;)",299143,0
34194,female,"I've just taken the first step to sharing my writing with the masses. Well, masses who might actually read it and comment back to me on it. I'll let you know when I can link ya.",299143,0
34310,male,"blog, blog, bloget, blah...blah...i'm a lazy blogger....sorry....love u all...blog tonight...who is Rhonda???...",3864588,0
